"Period","Region","Age.Range","Duration of Hospitalizations Mean","PM10 mean","PM10 max","O3 mean","O3 max","NOX as NO2 mean","NOX as NO2 max","NO mean","NO max","PM2.5 mean","PM2.5 max","CO mean","CO max","Hospitalizations_100000","Ambulatory_100000","Deaths_100000","Month","Season"
"2018-07-01","LVT","1",13.0537634408602,16.5883321067732,66,62.3629180596279,118,20.8414467774564,332.1,4.8746285600544,144.8,8.70266159421362,34.6,217.687641230662,548,7.48571428571429,4.97142857142857,0,7,"1"
"2018-07-01","Madeira","1",10.8571428571429,13.9929682188168,42.6,57.2948717907692,112.7,55.9460912014658,261.3,13.2121281440732,125,4.49081080816216,26.19999999,252.330564767442,2718,8.26950717675087,0,0,7,"1"
"2018-07-01","Norte","1",13.7263157894737,12.9512612227448,50,56.1508417508417,151,51.5617716363793,549.79999999,16.1619400432604,271.3,NA,NA,234.235531628533,888,10.159529806885,6.46515533165407,0,7,"1"
"2018-07-01","Algarve","5",47,14.938642656108,38.1,76.2950268777688,128.4,9.78252687827957,49,1.66075268680108,5.29999999,7.37828843104596,21,NA,NA,3.19005432206788,1.59502716103394,0,7,"1"
"2018-07-01","Centro","5",19.25,15.3780323450135,82,51.5591715976331,99,14.9789237668161,203,2.7695067264574,81,6.35215053763441,34,157.040849673203,1083,3.382949932341,1.3531799729364,0.04510599909788,7,"1"
"2018-07-01","LVT","5",45.5769230769231,16.5883321067732,66,62.3629180596279,118,20.8414467774564,332.1,4.8746285600544,144.8,8.70266159421362,34.6,217.687641230662,548,4.17142857142857,2.34285714285714,0.0285714285714286,7,"1"
"2018-07-01","Madeira","5",25.5,13.9929682188168,42.6,57.2948717907692,112.7,55.9460912014658,261.3,13.2121281440732,125,4.49081080816216,26.19999999,252.330564767442,2718,4.72543267242907,0,0,7,"1"
"2018-07-01","Norte","5",33.75,12.9512612227448,50,56.1508417508417,151,51.5617716363793,549.79999999,16.1619400432604,271.3,NA,NA,234.235531628533,888,5.59753708368318,1.7632241813602,0.0279876854184159,7,"1"
"2018-07-01","Algarve","6",145,14.938642656108,38.1,76.2950268777688,128.4,9.78252687827957,49,1.66075268680108,5.29999999,7.37828843104596,21,NA,NA,5.92438659812607,0.227861023004849,0.911444092019396,7,"1"
"2018-07-01","Centro","6",72.5,15.3780323450135,82,51.5591715976331,99,14.9789237668161,203,2.7695067264574,81,6.35215053763441,34,157.040849673203,1083,7.75823184483536,1.17275597654488,0.54127198917456,7,"1"
